,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
6,Regular 2,Saigon-Heat,Danang-Dragons,11,"Ban-Vo, Kim",14,2,8,1,4,0,0,1,1,0,0,0,2,1,5
7,Regular 2,Saigon-Heat,Danang-Dragons,30,"Waale, Tim",14,1,2,0,0,0,0,3,1,2,0,0,2,1,2
8,Regular 2,Saigon-Heat,Danang-Dragons,98,"Trieu-Han, Minh",13,3,5,3,4,0,0,0,1,1,0,0,0,1,9
9,Regular 2,Saigon-Heat,Danang-Dragons,20,"Kien, Pham Duc",12,1,2,0,0,0,0,2,2,0,0,0,0,2,2
10,Regular 2,Saigon-Heat,Danang-Dragons,24,"Nguyen-Truong, Nhut",4,0,1,0,1,0,0,1,1,1,0,0,1,0,0
0,Regular 2,Danang-Dragons,Hochiminh-City-Wings,0,"Nguyen, Horace",40,3,12,3,9,4,4,0,0,1,3,0,0,2,13
1,Regular 2,Danang-Dragons,Hochiminh-City-Wings,44,"January, Anthony",33,11,24,0,3,4,9,3,13,0,6,0,4,2,26
2,Regular 2,Danang-Dragons,Hochiminh-City-Wings,4,"Huynh Thanh, Tam",29,2,5,0,0,0,1,1,3,1,2,0,4,3,4
3,Regular 2,Danang-Dragons,Hochiminh-City-Wings,68,"Huy Dai, Dam",28,1,7,1,6,0,0,0,3,1,0,0,0,1,3
4,Regular 2,Danang-Dragons,Hochiminh-City-Wings,99,"Nguyen Van, Hung",27,3,10,0,0,1,2,1,6,1,0,2,1,1,7
5,Regular 2,Danang-Dragons,Hochiminh-City-Wings,10,"Nguyen Van, Hung",23,3,9,0,0,1,2,2,5,0,0,0,3,5,7
6,Regular 2,Danang-Dragons,Hochiminh-City-Wings,69,"Bui Quoc, Tan",9,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7,Regular 2,Danang-Dragons,Hochiminh-City-Wings,19,"Tran-Dang, Hien",5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,Regular 2,Danang-Dragons,Hochiminh-City-Wings,7,"Ly, Austin",2,0,1,0,0,0,0,0,1,0,0,0,1,1,0
