,teamID,year,first_middle,last,pos1,pos2,nat,height_cm,#
199,TLW,2019,Justin,Young,PF,,USA,190.0,12
200,TLW,2019,Dat-Nguyen,Thanh,SG,,Vietnam,179.0,3
201,TLW,2019,Hung-Dang,Thai,PF,,Vietnam,188.0,7
202,TLW,2019,Lan-Hong,Gia,PF,,Vietnam,,0
203,TLW,2019,Duong,Nguyen,SG,,Vietnam,180.0,83
204,TLW,2019,Hien-Hoang,The,SF,,Vietnam,187.0,21
205,TLW,2019,Trung-Ngo,Tuan,F,,Vietnam,175.0,6
206,TLW,2019,Quoc-Nguyen,Xuan,F,,Vietnam,187.0,1
207,TLW,2019,Trung-Truong,Hoang,SF,,Vietnam,175.0,6
208,TLW,2019,Quang-Doan,Nhat,,,Vietnam,,8
209,TLW,2019,Trung-Bạch,Cong,,,Vietnam,,9
210,TLW,2019,Anh-Mai,Viet,,,Vietnam,,24
211,TLW,2019,Nam-Pham,Thanh,,,Vietnam,,18
212,TLW,2019,Anh-Nguyen,Viet,,,Vietnam,,10
213,HNB,2017,Hoang,Tony,G,,Vietnam,167.0,3
214,HNB,2017,Do-Huy,Hoang,,,Vietnam,,15
215,HNB,2017,Vu-Duc,Thai,,,Vietnam,,98
216,HNB,2018,Kien-Pham,Duc,F,,Vietnam,198.0,98
217,HNB,2019,Michael,Bell,F,,USA,206.0,6
218,HNB,2019,Cong-Dinh,Tien,F,,Vietnam,182.0,1
219,HNB,2019,Tung,Doan,F,,Vietnam,186.0,11
220,HNB,2019,Tran,Ngoc,PG,,Vietnam,184.0,19
221,HNB,2019,Stefan,Nguyen,G,,Sweden,190.0,24
222,HNB,2019,Ngoc-Tu,Le,PG,,Vietnam,179.0,12
223,HNB,2019,Henry,Nguyen,PF,,USA,170.0,2
224,HNB,2019,Hai-Nguyen,Huynh,SF,,Vietnam,,7
225,HNB,2019,Nam-Do,Xuan,SG,,Vietnam,182.0,9
226,HNB,2019,Ha-Bui,Thai,G,,Vietnam,178.0,14
227,HNB,2019,Anh-Nguyen,Quang,F,,Vietnam,,88
228,HNB,2019,Ha-Bui,Nguyn,,,Vietnam,,29
229,HNB,2019,Vinh-Nguyen,Van,SG,,Vietnam,,15
230,DND,2017,Nguyen,Stefan,G,,Sweden,190.0,-1
231,DND,2017,Dai-Dam,Huy,PG,,Vietnam,180.0,24
232,DND,2018,Tran-Quoc,Toan,,,Vietnam,,10
233,DND,2018,Dai-Dam,Huy,PG,,Vietnam,180.0,68
234,DND,2018,Tran-Bao,Nguyen,,,Vietnam,,6
235,DND,2018,Quang-Phuc,Tran,,,Vietnam,,3
236,DND,2018,Tran-Hcu,Rin,SG,,Vietnam,,9
237,DND,2019,Anthony,January,F,,USA,203.0,44
238,DND,2019,Horace,Nguyen,PG,,USA,178.0,0
239,DND,2019,Tam-Son,Minh,,,Vietnam,,77
240,DND,2019,Hung-Nguyen,Van,G,F,Vietnam,187.0,10
241,DND,2019,Hung-Nguyen,Van,G,F,Vietnam,193.0,99
242,DND,2019,Dam-Huy,Dai,PG,,Vietnam,180.0,68
243,DND,2019,Tam-Huynh,Thanh,,,Vietnam,,4
244,DND,2019,Austin,Ly,G,,Canada,175.0,7
245,DND,2019,Hien-Tran,Dang,SG,,Vietnam,,19
246,DND,2019,Tan-Bui,Quoc,F,,Vietnam,186.0,69
247,DND,2019,Hoang-Vu,Viet,,,Vietnam,,17
248,DND,2019,Truong-Ho,Quoc,,,Vietnam,,24
249,DND,2019,Rin-Tran,Hcu,SG,,Vietnam,,9
250,DND,2019,Thinh,Mai,,,Vietnam,,5
